epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,909.461,1.63361,1.42779,1.12651,0.18126,0.56384,0.16396,0.07726,1.67574,5.13348,1.20603,0.00037154,0.00037154,0.00037154
2,2216.39,1.5573,0.95207,1.11784,0.58701,0.57618,0.45308,0.20583,1.53861,1.52192,1.19666,0.00071988,0.00071988,0.00071988
3,3529.07,1.56393,0.93047,1.14316,0.33013,0.32738,0.25515,0.11926,1.89471,2.92699,1.59485,0.00103002,0.00103002,0.00103002
4,4815.96,1.56592,0.80468,1.12322,0.68549,0.63074,0.59808,0.28566,1.5371,0.85112,1.21387,0.00121679,0.00121679,0.00121679
5,10318,1.5598,0.79739,1.1151,0.5477,0.60865,0.54599,0.25856,1.62177,1.00075,1.27838,0.00114606,0.00114606,0.00114606
6,11219,1.51048,0.74878,1.10066,0.5538,0.43102,0.36187,0.16005,1.65391,2.57592,1.40212,0.00107532,0.00107532,0.00107532
7,12127.1,1.49335,0.73197,1.09356,0.70058,0.67684,0.65402,0.33229,1.46848,0.6712,1.15234,0.00100459,0.00100459,0.00100459
8,13092.2,1.46062,0.69854,1.08,0.76471,0.6722,0.66745,0.32614,1.47645,0.69344,1.14419,0.000933851,0.000933851,0.000933851
9,14060.6,1.46229,0.67193,1.07066,0.79274,0.66733,0.6844,0.3238,1.50989,0.67949,1.15808,0.000863116,0.000863116,0.000863116
10,14993.4,1.45552,0.68305,1.07699,0.81538,0.70817,0.73543,0.35703,1.46893,0.6437,1.15232,0.00079238,0.00079238,0.00079238
11,16020.3,1.45614,0.65315,1.12511,0.78542,0.70582,0.73316,0.3604,1.43919,0.6409,1.13017,0.000721645,0.000721645,0.000721645
12,17271.9,1.38999,0.62875,1.1063,0.78457,0.7503,0.75005,0.36376,1.45901,0.63276,1.13579,0.000650909,0.000650909,0.000650909
13,18541.2,1.3954,0.64014,1.12508,0.78445,0.74076,0.7389,0.35907,1.51109,0.63643,1.13937,0.000580174,0.000580174,0.000580174
14,19635.1,1.39621,0.61374,1.11217,0.78832,0.70711,0.73805,0.37176,1.49176,0.62672,1.14192,0.000509438,0.000509438,0.000509438
15,20524.9,1.36699,0.59827,1.09108,0.82,0.71734,0.74983,0.38265,1.42221,0.59197,1.11886,0.000438703,0.000438703,0.000438703
16,21443.3,1.34905,0.57915,1.08388,0.78854,0.72849,0.71533,0.36608,1.43582,0.57585,1.12134,0.000367967,0.000367967,0.000367967
17,22387.2,1.33405,0.56777,1.07605,0.81039,0.76562,0.76476,0.38774,1.40879,0.57055,1.10175,0.000297232,0.000297232,0.000297232
18,23330.8,1.31981,0.56192,1.08042,0.85021,0.74423,0.76562,0.39673,1.374,0.56143,1.09017,0.000226497,0.000226497,0.000226497
19,24562.8,1.29416,0.54254,1.05359,0.84053,0.76091,0.80072,0.40948,1.36432,0.54412,1.08677,0.000155761,0.000155761,0.000155761
20,25832.5,1.29967,0.54538,1.05365,0.86771,0.76357,0.8165,0.42768,1.35741,0.53941,1.08259,8.50255e-05,8.50255e-05,8.50255e-05
